Name ,Address ,Latitude,Longtitude,Type ,Latest Inspection Date,Type,Critical_Violation,Non_Critical_Violation,Total
   HARDEES , 200 S  PROVIDENCE COLUMBIA 65203,38.949361,-92.333813,  RESTAURANT ,    12-21-2015 ,    FOLLOW UP ,0,1,1
   HARDEES , 2016   PARIS COLUMBIA 65202,38.96762,-92.307293,  RESTAURANT ,    4-18-2016 ,    ROUTINE ,1,3,4
   HAROLDS DONUTS , 201 9TH ST.  STE.102 COLUMBIA 65201,38.949368,-92.327888,  RESTAURANT ,    4-5-2016 ,    ROUTINE ,0,0,0
    HAROLDS DOUGHNUTS  LLC , 124 E   NIFONG COLUMBIA 65203,38.908783,-92.337004,  RESTAURANT  ,    12-16-2014 ,    ROUTINE ,0,0,0
    HARPO'S , 29 S  TENTH COLUMBIA 65201,38.95064,-92.326812,  RESTAURANT  ,    12-10-2015 ,    ROUTINE ,1,0,1
   HARTSBURG GRAND REST. , 30 S Second Street Hartsburg 65039,38.694871,-92.308722,  RESTAURANT ,    10-3-2014 ,    ROUTINE ,0,0,0
   HAWGS N HEAT , 508 E LIBERTY LN ASHLAND 65010,38.76766,-92.254769,  RESTAURANT ,    7-9-2015 ,    ROUTINE ,0,0,0
   HE CHENG , 215 N. STADIUM BLVD. STE. 103 COLUMBIA 65201,38.959727,-92.374905,  RESTAURANT ,    4-13-2016 ,    ROUTINE ,1,2,3
   HEIDELBERG , 410 S  NINTH COLUMBIA 65201,38.946843,-92.327283,  RESTAURANT ,    4-21-2016 ,    ROUTINE ,2,1,3
    HEUER'S STORE , 15471 N OLD HWY 63 STURGEON 65284,39.204556,-92.330577,  RESTAURANT  ,    2-4-2016 ,    FOLLOW UP ,0,0,0
   HICKMAN CONCESSIONS , 1104 N  PROVIDENCE COLUMBIA 65203,38.962561,-92.332217,  RESTAURANT ,    6-8-2015 ,    ROUTINE ,0,0,0
   HILLEL HOUSE , 1107   UNIVERSITY COLUMBIA 65201,38.946803,-92.324687,  RESTAURANT ,    11-3-2015 ,    ROUTINE ,0,0,0
   HILTON GARDEN INN , 3300   VANDIVER COLUMBIA 65202,38.974688,-92.289305,  RESTAURANT ,    1-29-2016 ,    ROUTINE ,1,2,3
   HOLIDAY INN , 915   PORT COLUMBIA 65201,38.958126,-92.252549,  RESTAURANT ,    4-21-2016 ,    ROUTINE ,1,2,3
   HOLIDAY INN EXPRESS , 1411   CINNAMON HILL COLUMBIA 65201,38.933898,-92.292399,  RESTAURANT ,    1-29-2016 ,    ROUTINE ,0,0,0
   HOLIDAY INN SEL CHURCHILL , 2200   I-70 DRIVE SOUTHWEST COLUMBIA 65203,38.967164,-92.373546,  RESTAURANT ,    12-10-2015 ,    ROUTINE ,0,1,1
   HOLIDAY INN SELECT BANQUE , 2200   I-70 DRIVE SOUTHWEST COLUMBIA 65203,38.967164,-92.373546,  RESTAURANT ,    4-7-2016 ,    ROUTINE ,3,2,5
   HONEY BAKED HAM , 212 E  GREEN MEADOWS COLUMBIA 65203,38.915846,-92.336534,  RESTAURANT ,    1-25-2016 ,    ROUTINE ,0,0,0
   HONEY TREE , 201 W SWITZLER CENTRALIA 65240,39.215249,-92.138248,  RESTAURANT ,    12-3-2015 ,    ROUTINE ,1,0,1
   HOOTERS , 1101   WOODLAND SPRINGS COLUMBIA 65202,38.962111,-92.285015,  RESTAURANT ,    3-8-2016 ,    ROUTINE ,0,0,0
    HOULIHAN'S , 2541   BROADWAY BLUFFS COLUMBIA 65201,38.948702,-92.299559,  RESTAURANT  ,    2-25-2016 ,    ROUTINE ,2,2,4
   HOUSE OF CHOW , 2101 W  BROADWAY COLUMBIA 65203,38.954523,-92.372131,  RESTAURANT ,    12-28-2015 ,    ROUTINE ,0,0,0
   HU HOT MONGOLIAN GRILL , 3802   BUTTONWOOD COLUMBIA 65201,38.90829,-92.329801,  RESTAURANT ,    4-25-2016 ,    ROUTINE ,0,0,0
   HY-VEE BAKERY/DELI , 3100 W  BROADWAY COLUMBIA 65203,38.953299,-92.383659,  RESTAURANT ,    12-10-2015 ,    ROUTINE ,0,3,3
   HY-VEE BAKERY/DELI , 25   CONLEY COLUMBIA 65201,38.94981,-92.2965,  RESTAURANT ,    12-29-2015 ,    ROUTINE ,0,1,1
   HY-VEE BAKERY/DELI , 405 E  NIFONG COLUMBIA 65201,38.912012,-92.333608,  RESTAURANT ,    4-12-2016 ,    ROUTINE ,3,1,4
   HY-VEE CARIBOU COFFEE , 405 E  NIFONG COLUMBIA 65201,38.912012,-92.333608,  RESTAURANT ,    9-30-2015 ,    ROUTINE ,0,0,0
   HY-VEE CARIBOU COFFEE , 25   CONLEY COLUMBIA 65201,38.94981,-92.2965,  RESTAURANT ,    4-27-2016 ,    ROUTINE ,0,1,1
   I.C. BILLIARDS , 121 N HICKMAN Centralia 65240,39.212524,-92.14022,  RESTAURANT ,    12-1-2015 ,    ROUTINE ,0,0,0
   IHOP , 51   CONLEY COLUMBIA 65201,38.950451,-92.294309,  RESTAURANT ,    4-29-2016 ,    ROUTINE ,2,4,6
    IMO'S PIZZA , 601 BUSINESS LOOP 70 W #213 COLUMBIA 65202,38.967365,-92.345423,  RESTAURANT  ,    3-17-2016 ,    ROUTINE ,2,0,2
   INDIAS HOUSE , 1101 E  BROADWAY COLUMBIA 65201,38.951838,-92.325529,  RESTAURANT ,    2-24-2016 ,    ROUTINE ,1,1,2
INGREDIENT , 304 S  NINTH COLUMBIA 65201,38.948246,-92.327341,  RESTAURANT   ,      3-28-2016   ,      ROUTINE   ,0,2,2
   INSOMNIA COOKIES , 308 S. NINTH ST. STE 113 COLUMBIA 65201,38.947727,-92.327166,  RESTAURANT   ,      12-22-2015   ,      ROUTINE   ,0,0,0
   INTERNATIONAL CAFE , 26 S  NINTH COLUMBIA 65201,38.950712,-92.327242,  RESTAURANT   ,      2-18-2016   ,      COMPLAINT   ,0,0,0
   ITALIAN VILLAGE , 711   VANDIVER COLUMBIA 65202,38.971665,-92.327633,  RESTAURANT   ,      4-26-2016   ,      ROUTINE   ,2,0,2
   JACK IN THE BOX, 1401 GRINDSTONE COLUMBIA 65203,38.90904,-92.35908,  RESTAURANT   ,      3-24-2016   ,      ROUTINE   ,0,0,0
   JACKS GOURMET REST , 1903 E  BUSINESS LOOP 70 COLUMBIA 65201,38.96417,-92.309635,  RESTAURANT   ,      10-26-2015   ,      ROUTINE   ,0,1,1
   JAKE'S ," 5695 E CLARK LANE, STE I COLUMBIA 65202",38.963676,-92.252152,  RESTAURANT ,      3-31-2016   ,      ROUTINE   ,1,0,1
   JAMBA JUICE , 260 S  TENTH COLUMBIA 65201,38.948734,-92.326236,  RESTAURANT   ,      12-23-2015   ,      ROUTINE   ,0,0,0
   JAMEY JOHNSON , 6071 E  OREAR COLUMBIA 65202,39.049632,-92.243236,  RESTAURANT   ,      11-11-2015   ,      ROUTINE   ,0,0,0
   JAZZ LOUISIANA KITCHEN , 217 N  STADIUM COLUMBIA 65203,38.959275,-92.37442,  RESTAURANT   ,      3-29-2016   ,      ROUTINE   ,2,3,5
   JERSEY MIKE'S SUBS , 1101 GRINDSTONE PARKWAY STE 105 COLUMBIA 65201,38.910861,-92.325439,  RESTAURANT ,      3-29-2016   ,      ROUTINE   ,1,0,1
   JILL'S GRAND EATS , 30 S. GRAND ST. HARTSBURG 65039,38.695034,-92.308798,  RESTAURANT ,      4-1-2016   ,      ROUTINE   ,0,2,2
   JIMMY JOHNS , 1019 E  BROADWAY COLUMBIA 65201,38.951752,-92.325862,  RESTAURANT   ,      10-6-2015   ,      ROUTINE   ,0,0,0
   JIMMY JOHNS , 912   RAIN FOREST COLUMBIA 65203,38.988522,-92.325312,  RESTAURANT   ,      10-2-2015   ,      ROUTINE   ,0,0,0
   JIMMY JOHNS , 212   CORPORATE LAKE COLUMBIA 65203,38.895296,-92.33601,  RESTAURANT   ,      3-10-2016   ,      ROUTINE   ,0,0,0
   JIMMY JOHNS , 4008 W  BROADWAY COLUMBIA 65203,38.955118,-92.395327,  RESTAURANT   ,      10-13-2015   ,      ROUTINE   ,0,1,1
   JIMMY JOHNS  , 5580   BULL RUN COLUMBIA 65201,38.957222,-92.251922,  RESTAURANT   ,      4-25-2016   ,      ROUTINE   ,0,1,1
   JIMMY'S FAMILY STEAKHOUSE , 3101 S  PROVIDENCE COLUMBIA 65203,38.916787,-92.335536,  RESTAURANT ,      5-2-2016   ,      ROUTINE   ,2,1,3
   JINA YOO'S ASIAN BISTRO , 2200   FORUM COLUMBIA 65203,38.927848,-92.363528,  RESTAURANT ,      12-30-2015   ,      ROUTINE   ,4,2,6
   JINGO'S , 1203 E  BROADWAY COLUMBIA 65201,38.951495,-92.32405,  RESTAURANT ,      12-28-2015   ,      COMPLAINT   ,0,0,0
   JJ'S CAFE , 600 W  BUSINESS LOOP 70 COLUMBIA 65203,38.965612,-92.345614,  RESTAURANT ,      11-30-2015   ,      ROUTINE   ,1,1,2
   JOSE JALAPENOS , 3412  GRINDSTONE PARKWAY COLUMBIA 65201,38.911636,-92.296692,  RESTAURANT   ,      12-7-2015   ,      ROUTINE   ,2,1,3
   JR'S DINER , 104 S ALLEN ST CENTRALIA 65240,39.211539,-92.138914,  RESTAURANT ,      3-16-2016   ,      ROUTINE   ,0,0,0
   KALDI'S , 1400   FORUM COLUMBIA 65203,38.936674,-92.359122,  RESTAURANT ,      2-2-2016   ,      ROUTINE   ,1,0,1
   KALDI'S COFFEE , 29 S  NINTH COLUMBIA 65201,38.950652,-92.327795,  RESTAURANT ,      1-12-2016   ,      Other   ,0,5,5
   KAMPAI SUSHI , 907   A COLUMBIA 65201,38.944448,-92.296586,  RESTAURANT   ,      4-25-2016   ,      ROUTINE   ,0,1,1
   KFC , 2004 W  WORLEY COLUMBIA 65203,38.960802,-92.369714,  RESTAURANT   ,      4-21-2016   ,      ROUTINE   ,1,2,3
   KFC , 3700   BUTTONWOOD COLUMBIA 65203,38.909228,-92.329829,  RESTAURANT   ,      2-24-2016   ,      COMPLAINT   ,0,2,2
   KFC , 3212   CLARK COLUMBIA 65202,38.963339,-92.289086,  RESTAURANT   ,      4-7-2016   ,      COMPLAINT   ,0,0,0
   KNIGHTS OF COLUMBUS , 2525 N  STADIUM COLUMBIA 65202,38.981337,-92.374633,  RESTAURANT   ,      3-4-2016   ,      ROUTINE   ,1,2,3
   KOBE JAPANESE STEAKHOUSE , 2531   BROADWAY BLUFFS COLUMBIA 65201,38.948491,-92.300253,  RESTAURANT   ,      4-11-2016   ,      ROUTINE   ,0,0,0
   KOJABA , 601 W   BUSINESS LOOP 70          COLUMBIA 65203,38.967365,-92.345423,  RESTAURANT   ,      3-29-2016   ,      ROUTINE   ,6,1,7
   KOSTAKI'S LLC #2 , 3412   GRINDSTONE COLUMBIA 65201,38.911636,-92.296692,  RESTAURANT ,      12-18-2014   ,      ROUTINE   ,3,4,7
   KOSTAKI'S PIZZERIA , 2101   CORONA COLUMBIA 65203,38.932134,-92.399014,  RESTAURANT ,      2-6-2015   ,      ROUTINE   ,1,6,7
   KUHLE'S JUNCTION , 760 HWY 22 STURGEON 65284,39.24653,-92.321048,  RESTAURANT ,      6-19-2015   ,      ROUTINE   ,0,1,1
   KUI KOREAN BBQ , 22 N  NINTH COLUMBIA 65201,38.952238,-92.327299,  RESTAURANT   ,      4-13-2015   ,      ROUTINE   ,0,1,1
   LA QUINTA , 2500   I-70 DRIVE SOUTHWEST COLUMBIA 65203,38.967834,-92.375957,  RESTAURANT   ,      12-24-2014   ,      ROUTINE   ,0,1,1
   LA SIESTA , 33 N  NINTH COLUMBIA 65201,38.952458,-92.327775,  RESTAURANT   ,      3-23-2016   ,      ROUTINE   ,2,5,7
   LA SIESTA , 3890   RANGE LINE COLUMBIA 65202,38.989654,-92.323536,  RESTAURANT   ,      1-5-2016   ,      ROUTINE   ,1,1,2
   LA SIESTA ," 2513 OLD HWY 63 S,  STE. 103 COLUMBIA 65201",38.920678,-92.307907,  RESTAURANT   ,      11-23-2015   ,      FOLLOW UP   ,0,0,0
   LA TERRAZA , 1412   FORUM COLUMBIA 65203,38.935409,-92.360018,  RESTAURANT   ,      4-19-2016   ,      ROUTINE   ,0,0,0
   LA TOLTECA , 128 E  NIFONG COLUMBIA 65203,38.909171,-92.336736,  RESTAURANT   ,      10-21-2015   ,      ROUTINE   ,0,0,0
   LAKE GEORGE ASST LIVING , 5000 E  RICHLAND COLUMBIA 65201,38.946843,-92.262446,  RESTAURANT   ,      2-3-2016   ,      ROUTINE   ,0,0,0
   LAKOTA COFFEE COMPANY , 24 S  NINTH COLUMBIA 65201,38.950769,-92.327228,  RESTAURANT   ,      1-19-2016   ,      ROUTINE   ,0,0,0
   LAKOTA COFFEE SHOP , 1   HOSPITAL COLUMBIA 65201,38.938159,-92.328586,  RESTAURANT   ,      2-25-2015   ,      ROUTINE   ,0,0,0
   LAS MARGARITAS , 10 E  SOUTHAMPTON COLUMBIA 65203,38.899574,-92.340313,  RESTAURANT   ,      10-12-2015   ,      ROUTINE   ,1,2,3
   LAURA LEE'S HEALTHY PLATE , 2902   FORUM COLUMBIA 65203,38.921749,-92.362066,  RESTAURANT ,      2-1-2016   ,      ROUTINE   ,1,0,1
   LEE STREET DELI LLC , 603   LEE COLUMBIA 65201,38.944516,-92.320791,  RESTAURANT   ,      4-26-2016   ,      ROUTINE   ,4,1,5
   LEE'S FAMOUS RECIPE CHICK , 2200 W ASH ST STE 102 COLUMBIA 65202,38.957338,-92.37216,  RESTAURANT ,      11-16-2015   ,      FOLLOW UP   ,0,0,0
   LEE'S FAMOUS RECIPE CHICK , 2316   PARIS COLUMBIA 65203,38.97262,-92.302047,  RESTAURANT ,      12-24-2015   ,      ROUTINE   ,1,0,1
   LENOIR BRADFORD MANOR , 3710   LENOIR COLUMBIA 65201,38.907988,-92.290872,  RESTAURANT   ,      4-6-2016   ,      ROUTINE   ,1,0,1
   LENOIR WOODS CARE CENTER  , 3610   LENOIR COLUMBIA 65201,38.905786,-92.290892,  RESTAURANT   ,      2-12-2016   ,      ROUTINE   ,2,1,3
   LES BOURGEOIS A-FRAME , 12847 W HWY BB ROCHEPORT 65279,38.968192,-92.533455,  RESTAURANT   ,      6-9-2015   ,      ROUTINE   ,1,1,2
   LES BOURGEOIS BISTRO , 12847 W HWY BB ROCHEPORT 65279,38.968192,-92.533455,  RESTAURANT   ,      12-15-2015   ,      ROUTINE   ,0,0,0
   LILLY'S CATINA , 124 E. NIFONG BLVD. STE B COLUMBIA 65203,38.908783,-92.337004,  RESTAURANT ,      6-6-2015   ,      ROUTINE   ,0,0,0
   LITTLE CAESAR'S PIZZA , 2901 W  BROADWAY COLUMBIA 65203,38.955477,-92.381396,  RESTAURANT ,      3-25-2016   ,      ROUTINE   ,0,0,0
   LITTLE CAESAR'S PIZZA , 100   BRICKTON COLUMBIA 65201,38.948073,-92.295314,  RESTAURANT ,      3-21-2016   ,      ROUTINE   ,0,0,0
   LITTLE CAESAR'S PIZZA , 505 E  NIFONG COLUMBIA 65201,38.910205,-92.334464,  RESTAURANT ,      3-28-2016   ,      ROUTINE   ,0,0,0
   LOGBOAT BREWERY LLC , 700   FAY COLUMBIA 65201,38.958928,-92.322543,  RESTAURANT   ,      12-22-2015   ,      ROUTINE   ,0,0,0
   LONE STAR STEAKHOUSE , 3220   VANDIVER COLUMBIA 65202,38.973241,-92.289399,  RESTAURANT   ,      4-4-2016   ,      ROUTINE   ,4,3,7
   LONG JOHN SILVERS , 206 W  BUSINESS LOOP 70 COLUMBIA 65203,38.965288,-92.341763,  RESTAURANT   ,      1-4-2016   ,      ROUTINE   ,1,1,2
   LONGHORN STEAKHOUSE , 31   CONLEY COLUMBIA 65201,38.949255,-92.294566,  RESTAURANT   ,      4-7-2016   ,      ROUTINE   ,2,3,5
   LONNIE RAY S BARBEQUE , 81 E SEXTON  65202,39.141925,-92.461281,  RESTAURANT ,      12-23-2014   ,      ROUTINE   ,0,1,1
   LOON SHENG , 2716   PARIS COLUMBIA 65202,38.97877,-92.294525,  RESTAURANT   ,      3-11-2016   ,      ROUTINE   ,0,4,4
   LOS CUATES #2 , 2908   PARIS COLUMBIA 65202,38.980689,-92.292917,  RESTAURANT   ,      12-14-2015   ,      FOLLOW UP   ,0,0,0
   LUCKY'S MARKET- BAKERY/DELI  , 111 S PROVIDENCE COLUMBIA 65203,38.950139,-92.335127,  RESTAURANT ,      4-21-2016   ,      ROUTINE   ,0,0,0
   LUCY'S CORNER CAFE , 522 E  BROADWAY COLUMBIA 65201,38.95134,-92.33099,  RESTAURANT ,      12-16-2015   ,      ROUTINE   ,0,0,0
   LUTZ'S BBQ , 200 E  NIFONG COLUMBIA 65203,38.909388,-92.337695,  RESTAURANT ,      2-23-2016   ,      ROUTINE   ,0,1,1
   MACARONI GRILL , 305 N  STADIUM COLUMBIA 65203,38.959409,-92.372186,  RESTAURANT   ,      12-19-2014   ,      ROUTINE   ,0,0,0
   MACKENZIE'S , 907   RAIN FOREST COLUMBIA 65202,38.989617,-92.325025,  RESTAURANT ,      3-5-2015   ,      FOLLOW UP   ,0,0,0
   MAD COW , 503 E  NIFONG COLUMBIA 65201,38.911751,-92.332502,  RESTAURANT   ,      2-24-2016   ,      ROUTINE   ,0,0,0
   MAIN SQUEEZE , 24 S  NINTH COLUMBIA 65201,38.950769,-92.327228,  RESTAURANT   ,      1-19-2016   ,      ROUTINE   ,3,0,3
   MAMA D'S PIZZA , 405   CHERRY COLUMBIA 65201,38.950596,-92.332933,  RESTAURANT ,      12-31-2015   ,      ROUTINE   ,1,0,1
   MANDARIN HOUSE , 2300   BERNADETTE COLUMBIA 65203,38.963839,-92.375518,  RESTAURANT   ,      3-6-2015   ,      ROUTINE   ,2,2,4
   MANDARIN HOUSE , 3302   BROADWAY BUSINESS PARK COLUMBIA 65203,38.953284,-92.385577,  RESTAURANT   ,      4-7-2016   ,      FOLLOW UP   ,0,0,0
   MARRIOTT COURTYARD , 3301   LEMONE INDUSTRIAL COLUMBIA 65201,38.914226,-92.292626,  RESTAURANT   ,      2-8-2016   ,      ROUTINE   ,1,0,1
   MCALISTER S DELI , 1205   GRINDSTONE COLUMBIA 65201,38.913228,-92.323166,  RESTAURANT ,      11-19-2015   ,      ROUTINE   ,1,4,5
   MCDONALDS , 500 E  NIFONG COLUMBIA 65201,38.909556,-92.332696,  RESTAURANT   ,      4-26-2016   ,      ROUTINE   ,0,0,0
   MCDONALDS , 205 E  BUSINESS LOOP 70 COLUMBIA 65203,38.965178,-92.334913,  RESTAURANT   ,      4-18-2016   ,      ROUTINE   ,0,0,0
   MCDONALDS , 3206   CLARK COLUMBIA 65202,38.963264,-92.28993,  RESTAURANT   ,      2-19-2016   ,      ROUTINE   ,0,0,0
   MCDONALDS , 415 N  STADIUM COLUMBIA 65203,38.960896,-92.372006,  RESTAURANT   ,      4-28-2016   ,      ROUTINE   ,0,0,0
   MCDONALDS , 1012   SMILEY COLUMBIA 65202,38.992758,-92.324334,  RESTAURANT   ,      4-6-2016   ,      ROUTINE   ,1,0,1
   MCDONALDS , 205 E  BUSINESS LOOP 70 COLUMBIA 65203,38.965178,-92.334913,  RESTAURANT   ,      10-23-2014   ,      ROUTINE   ,0,0,0
   MCDONALDS , 602 E BROADWAY B Ashland 65010,38.773534,-92.253856,  RESTAURANT ,      11-4-2015   ,      ROUTINE   ,0,0,0
   MCDONALDS , 500 E HWY 22 CENTRALIA 65240,39.218423,-92.133097,  RESTAURANT ,      11-11-2015   ,      ROUTINE   ,1,2,3
   MCNALLY'S IRISH PUB , 7 N  SIXTH COLUMBIA 65201,38.952059,-92.331025,  RESTAURANT ,      3-30-2016   ,      ROUTINE   ,1,0,1
   MI TIERRA , 2513 S  OLD 63 COLUMBIA 65201,38.920678,-92.307907,  RESTAURANT   ,      2-4-2015   ,      ROUTINE   ,0,0,0
   MID AMERICA HARLEY , 5704   FREEDOM COLUMBIA 65202,38.960896,-92.250283,  RESTAURANT   ,      5-4-2016   ,      ROUTINE   ,0,0,0
   MIDWAY RESTAURANT , 6401 W HWY 40 COLUMBIA 65202,38.974006,-92.439403,  RESTAURANT   ,      3-18-2016   ,      ROUTINE   ,0,0,0
   MISSOURI AUTO AUCTION , 421 N RANGELINE RD COLUMBIA 65201,38.953336,-92.206099,  RESTAURANT   ,      2-5-2016   ,      ROUTINE   ,0,0,0
   MOE'S SOUTHWEST GRILL , 308 S NINTH ST STE 101 COLUMBIA 65201,38.947727,-92.327166,  RESTAURANT ,      3-21-2016   ,      ROUTINE   ,0,0,0
   MR. GOODCENTS , 2540   BROADWAY BLUFFS COLUMBIA 65201,38.9476,-92.299956,  RESTAURANT   ,      10-15-2015   ,      ROUTINE   ,0,0,0
   MS KIM S FISH & CHICKEN SHACK , 711 VANDIVER DR. STE. A COLUMBIA 65201,38.971665,-92.327633,  RESTAURANT ,      4-29-2016   ,      ROUTINE   ,0,0,0
   MUGS UP , 603   ORANGE COLUMBIA 65203,38.965099,-92.345694,  RESTAURANT   ,      4-25-2016   ,      ROUTINE   ,0,1,1
   MULBERRY GRILL & BAKERY , 101 HOWARD ST ROCHEPORT 65279,38.979103,-92.568318,  RESTAURANT   ,      6-12-2015   ,      ROUTINE   ,2,0,2
   MURRY'S , 3107   GREEN MEADOWS COLUMBIA 65203,38.917191,-92.337316,  RESTAURANT ,      10-29-2015   ,      ROUTINE   ,0,1,1
   MUSITAS , 609 N  GARTH COLUMBIA 65203,38.959425,-92.339014,  RESTAURANT   ,      6-24-2015   ,      ROUTINE   ,0,0,0
   NASHVEGAS , 929 E  BROADWAY COLUMBIA 65201,38.951723,-92.326628,  RESTAURANT   ,      12-11-2015   ,      ROUTINE   ,0,1,1
   NEW CHINA RESTAURANT , 104 W BROADWAY Ashland 65010,38.774668,-92.262373,  RESTAURANT   ,      12-17-2015   ,      FOLLOW UP   ,0,0,0
   NEW YORK DELI , 1301   VANDIVER COLUMBIA 65202,38.971819,-92.320888,  RESTAURANT   ,      3-22-2016   ,      ROUTINE   ,1,0,1
   NIKKO ENTERPRISES , 111 S PROVIDENCE COLUMBIA 65203,38.950139,-92.335127,  RESTAURANT ,    4-11-2016 ,    ROUTINE ,0,0,0
   NOODLES & CO. , 21 CONLEY RD. COLUMBIA 65201,38.949044,-92.296386,  RESTAURANT ,    1-28-2016 ,    ROUTINE ,0,0,0
   NOODLES AND COMPANY , 406 S  NINTH COLUMBIA 65201,38.94698,-92.327325,  RESTAURANT ,    2-24-2016 ,    ROUTINE ,0,0,0
   OASIS CAFE , 2609 E  BROADWAY COLUMBIA 65201,38.947613,-92.297908,  RESTAURANT ,    3-11-2016 ,    ROUTINE ,0,0,0
   OKII MAMA RESTAURANT , 3709 S  PROVIDENCE COLUMBIA 65203,38.909374,-92.336038,  RESTAURANT ,    12-22-2015 ,    ROUTINE ,0,2,2
   OLD HAWTHORNE COUNTRY CLU , 6221 E  BROADWAY COLUMBIA 65201,38.92678,-92.247986,  RESTAURANT ,    11-19-2015 ,    ROUTINE ,0,0,0
   OLIVE BRANCH CAFE , 21 N  PROVIDENCE COLUMBIA 65203,38.952369,-92.334352,  RESTAURANT ,    7-28-2015 ,    ROUTINE ,0,0,0
   OLIVE GARDEN , 1300   I-70 DRIVE SOUTHWEST COLUMBIA 65203,38.963807,-92.357916,  RESTAURANT ,    5-4-2016 ,    ROUTINE ,0,0,0
   OSAKA , 120 E  NIFONG COLUMBIA 65203,38.908193,-92.337477,  RESTAURANT ,    3-25-2016 ,    ROUTINE ,0,0,0
   PAINT THE TOWN , 2703 E  BROADWAY COLUMBIA 65201,38.94733,-92.296852,  RESTAURANT ,    2-11-2016 ,    ROUTINE ,0,0,0
   PANCHEROS MEXICAN GRILL , 421 N  STADIUM COLUMBIA 65203,38.960978,-92.372757,  RESTAURANT ,    2-23-2016 ,    ROUTINE ,0,1,1
   PANCHEROS MEXICAN GRILL , 2900 TRIMBLE RD. STE. 109 COLUMBIA 65201,38.948123,-92.294562,  RESTAURANT ,    3-11-2016 ,    ROUTINE ,1,1,2
   PANCHEROS MEXICAN GRILL , 1101 GRINDSTONE STE. 101 COLUMBIA 65203,38.910861,-92.325439,  RESTAURANT ,    2-23-2016 ,    ROUTINE ,0,0,0
   PANDA EXPRESS , 91 CONLEY COLUMBIA 65201,38.950929,-92.29413,  RESTAURANT ,    3-24-2016 ,    ROUTINE ,2,2,4
   PANERA BREAD , 808 COLUMBIA MALL COLUMBIA 65203,38.961663,-92.372936,  RESTAURANT ,    1-4-2016 ,    ROUTINE ,1,2,3
   PANERA BREAD , 3709 S  PROVIDENCE COLUMBIA 65203,38.909374,-92.336038,  RESTAURANT ,    1-6-2016 ,    ROUTINE ,3,3,6
   PANERA BREAD , 100   BRICKTON COLUMBIA 65201,38.948073,-92.295314,  RESTAURANT ,    1-13-2016 ,    ROUTINE ,2,0,2
   PAPA JOHNS PIZZA , 1104   LOCUST COLUMBIA 65201,38.949414,-92.325161,  RESTAURANT ,    10-14-2014 ,    ROUTINE ,1,1,2
   PAPA JOHNS PIZZA , 1205 E  BROADWAY COLUMBIA 65201,38.951802,-92.323673,  RESTAURANT ,    3-30-2016 ,    FOLLOW UP ,0,0,0
   PAPA JOHNS PIZZA , 1400 FORUM BLVD. COLUMBIA 65203,38.936674,-92.359122,  RESTAURANT ,    3-25-2016 ,    ROUTINE ,1,0,1
   PAPA JOHNS PIZZA , 1205 E. BROADWAY COLUMBIA 65201,38.951802,-92.323673,  RESTAURANT ,    3-23-2016 ,    ROUTINE ,5,0,5
   PAPA MURPHY'S , 3103 W  BROADWAY COLUMBIA 65203,38.955688,-92.383829,  RESTAURANT ,    1-29-2016 ,    ROUTINE ,1,0,1
   PASTA FACTORY , 3103 W  BROADWAY COLUMBIA 65203,38.955688,-92.383829,  RESTAURANT ,    3-15-2016 ,    ROUTINE ,1,3,4
   PEGGY JEANS PIES , 1605   CHAPEL HILL COLUMBIA 65203,38.931276,-92.363651,  RESTAURANT ,    3-26-2015 ,    ROUTINE ,0,0,0
   PEKING RESTAURANT , 212 E  GREEN MEADOWS COLUMBIA 65203,38.915846,-92.336534,  RESTAURANT ,    3-24-2016 ,    ROUTINE ,4,1,5
   PENGUIN PLACE FROZEN DESSERTS , 945 E. HIGHWAY 22 CENTRALIA 65240,39.217247,-92.12807,  RESTAURANT ,    10-28-2015 ,    ROUTINE ,0,0,0
   PENN STATION SUBS , 203 E  NIFONG COLUMBIA 65203,38.91037,-92.337444,  RESTAURANT ,    3-30-2016 ,    ROUTINE ,1,1,2
   PEPPERJAX'S GRILL , 2900 TRIMBLE STE. 105 COLUMBIA 65201,38.948123,-92.294562,  RESTAURANT ,    11-3-2015 ,    ROUTINE ,0,0,0
   PERCHE CREEK CAFE , 6751 US Highway 40 Columbia 65202,38.978764,-92.438056,  RESTAURANT ,    2-26-2016 ,    ROUTINE ,1,0,1
   PHO QUAN VIET CUISINE , 1301 VANDIVER DR. STE. J COLUMBIA 65201,38.971819,-92.320888,  RESTAURANT ,    4-5-2016 ,    ROUTINE ,0,0,0
   PICKLEMAN'S , 2513 S OLD HWY 63 STE 100 COLUMBIA 65202,38.920678,-92.307907,  RESTAURANT ,    1-26-2016 ,    ROUTINE ,0,0,0
   PICKLEMAN'S , 3103 W  BROADWAY COLUMBIA 65203,38.955688,-92.383829,  RESTAURANT ,    1-12-2016 ,    ROUTINE ,0,1,1
   PICKLEMAN'S  CAFE , 1106 E  BROADWAY COLUMBIA 65201,38.951178,-92.324975,  RESTAURANT ,    1-28-2016 ,    ROUTINE ,0,1,1
   PITA PIT , 1105   GRINDSTONE COLUMBIA 65201,38.911413,-92.325612,  RESTAURANT ,    3-18-2016 ,    ROUTINE ,1,0,1
